Session ID,Course Code,Course Name,Instructor,Session Type,Day,Time Block,Room
SES_0094,BIT303,Networking and Telecommunications,T.A Abdelfattah,Lab,Tuesday,"09:00-10:40 (Slot 1, Slot 2)",LAB-4
SES_0105,COS320,Distributed System,Dr. Tarek,Lecture,Tuesday,"09:00-11:30 (Slot 1, Slot 2, Slot 3)",LH-1
SES_0142,MGT102,Introduction to Marketing,Dr. Sara,Lecture,Tuesday,"09:00-11:30 (Slot 1, Slot 2, Slot 3)",LH-2
SES_0085,MKI403,Customer Analytics,Dr. Mona,Lecture,Tuesday,"09:00-10:40 (Slot 1, Slot 2)",LH-5
SES_0111,ACC204,Intermediate Accounting 2,Amr,Section,Tuesday,09:50-10:40 (Slot 2),CR-10
SES_0016,MKI404,Customer Relationship Management,Alaa Nagib,Section,Tuesday,09:50-10:40 (Slot 2),CR-11
SES_0160,DBF302,Valuation of Companies and Cash Flow,T.A Sabreen,Section,Tuesday,09:50-10:40 (Slot 2),CR-12
SES_0135,MKT407,Marketing Strategy,Nouran,Section,Tuesday,09:50-10:40 (Slot 2),CR-13
SES_0155,MGT308,Supply Chain Management,Nouran,Section,Tuesday,10:40-11:30 (Slot 3),CR-3
SES_0113,MGT309,International Business Management,Alaa Nagib,Section,Tuesday,10:40-11:30 (Slot 3),CR-9
SES_0143,ECO101,Introduction to Microeconomics,Dr. Hossam,Lecture,Tuesday,"12:10-14:40 (Slot 4, Slot 5, Slot 6)",CR-1
